Date,Close/Last,Volume,Open,High,Low
09/22/2023,$317.01,21447890,$321.32,$321.45,$316.15
09/21/2023,$319.53,35560360,$319.26,$325.3499,$315.00
09/20/2023,$320.77,21436530,$329.51,$329.59,$320.51
09/19/2023,$328.65,16514490,$326.17,$329.39,$324.51
09/18/2023,$329.06,16834210,$327.80,$330.40,$326.36
09/15/2023,$330.22,37679790,$336.92,$337.3975,$329.65
09/14/2023,$338.70,20267050,$339.148,$340.86,$336.57
09/13/2023,$336.06,16544410,$331.31,$336.85,$331.17
09/12/2023,$331.77,17565480,$335.815,$336.79,$331.48
09/11/2023,$337.94,16583320,$337.24,$338.42,$335.43
09/08/2023,$334.27,19548170,$330.09,$336.16,$329.46
09/07/2023,$329.91,18381000,$331.29,$333.08,$329.03
09/06/2023,$332.88,17535770,$333.38,$334.46,$330.18
09/05/2023,$333.55,18553860,$329.00,$334.85,$328.66
09/01/2023,$328.66,14942020,$331.31,$331.99,$326.78
08/31/2023,$327.76,26410950,$329.20,$330.9099,$326.78
08/30/2023,$328.79,15222110,$328.67,$329.81,$326.445
08/29/2023,$328.41,19284590,$321.88,$328.9835,$321.88
08/28/2023,$323.70,14808480,$325.66,$326.15,$321.722
08/25/2023,$322.98,21684100,$321.47,$325.36,$318.8001
08/24/2023,$319.97,23281430,$332.85,$332.98,$319.96
08/23/2023,$327.00,21166380,$323.82,$329.20,$323.46
